file_id,stance_label_en,stance_score,score_Comprehensive_Analyst,score_Historically_Focused,score_Technique_&_Style_Focused,score_Theory_&_Comparison_Focused,score_General_Descriptive_Profile,top_feature_1_label,top_feature_1_score,top_feature_2_label,top_feature_2_score,top_quality_1_label,top_quality_1_score,top_quality_2_label,top_quality_2_score
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.1_绘画中的“南北宗”.txt,Aesthetic Appreciation,0.2717660665512085,0.0,0.0,0.0,0.0,0.110423016790201,Cross-cultural Influence,0.7871065139770508,Emotional Expression,0.4733603000640869,Subjective/Biased View,0.4711202383041382,Logical Gaps,0.3641316294670105
洪再辛_海外中国画研究文选（1950-1987）\导言.txt,Socio-cultural Interpretation,0.1634907573461532,0.0,0.0,0.0,0.0,0.07392749468233174,Cross-cultural Influence,0.7145716547966003,Layout and Structure,0.3770543932914734,Logical Gaps,0.2842804193496704,Classical Citations,0.2463480830192566
聂崇正_清代宫廷绘画\1_清以前的宫廷绘画概述.txt,Objective Description,0.1528605073690414,0.0,0.0,0.0,0.0,0.0016826513935537606,Cross-cultural Influence,0.09913492202758789,Layout and Structure,0.022845957428216934,Subjective/Biased View,0.01420281920582056,Logical Gaps,0.007582159712910652
聂崇正_清代宫廷绘画\3.2.1_纪实绘画.txt,Socio-cultural Interpretation,0.3085117042064667,0.0,0.0,0.0,0.0,0.09324217894498041,Cross-cultural Influence,0.5721344947814941,Technique Inheritance & Innovation,0.19642987847328186,Subjective/Biased View,0.1972835659980774,Lacks Examples,0.13910618424415588
苏利文（Sullivan）_山川悠远 中国山水画艺术\1_中国山水画的欣赏特质.txt,Aesthetic Appreciation,0.130945086479187,0.0,0.0,0.07805205305271289,0.0,0.10887894881042567,Cross-cultural Influence,0.6490345001220703,Subject Matter,0.5169059038162231,Subjective/Biased View,0.47630763053894043,Lacks Examples,0.3540078401565552
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.2.1_唐代山水画发展的历史背景和社会文化环境.txt,Socio-cultural Interpretation,0.171504721045494,0.0,0.0,0.0,0.0,0.012649835909114119,Use of Color,0.18069905042648315,Cross-cultural Influence,0.15058907866477966,Subjective/Biased View,0.12087006866931915,Classical Citations,0.08954725414514542
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.2.2_展子虔、李思训、李昭道等早期唐代山水画家的风格特点.txt,Socio-cultural Interpretation,0.370127260684967,0.0,0.0,0.0,0.0,0.262380268777108,Layout and Structure,0.9596028327941895,Cross-cultural Influence,0.9152205586433411,Subjective/Biased View,0.09767813235521317,Classical Citations,0.07305162400007248
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.2.5_唐代山水画技法的发展，如线描、“没骨”、水墨渲染的结合.txt,Objective Description,0.17378830909729,0.0,0.15203989545504254,0.2437846155983268,0.0,0.18970757998267113,Cross-cultural Influence,0.8844746947288513,Use of Color,0.8137854337692261,Classical Citations,0.4521605372428894,Superficial Treatment,0.35887494683265686
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.2.6_敦煌和日本正仓院所藏的唐代风格山水画.txt,Socio-cultural Interpretation,0.4189969301223755,0.0,0.17433404922485352,0.0,0.0,0.23284417655465894,Cross-cultural Influence,0.9744805097579956,Genre,0.8814985156059265,Classical Citations,0.362555593252182,Subjective/Biased View,0.2693001329898834
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.3.1_五代，宋初山水画.txt,Aesthetic Appreciation,0.1992747038602829,0.0,0.05436861515045166,0.1896213647416409,0.0,0.1793067045360405,Emotional Expression,0.7144041657447815,Cross-cultural Influence,0.6885433793067932,Classical Citations,0.3263076841831207,Subjective/Biased View,0.16378208994865417
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.3.3_山水画的装饰趣味和空间处理.txt,Historical Research,0.3715290427207947,0.0,0.0,0.0,0.0,0.13031120160046747,Historical Context,0.7568139433860779,Cross-cultural Influence,0.45944762229919434,Profound Insight,0.05122742801904678,Subjective/Biased View,0.025197574868798256
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.4.1_蒙古统治对汉族文人画家的影响.txt,Socio-cultural Interpretation,0.1188291609287262,0.0,0.0,0.08332156240940093,0.0,0.10754991339688949,Cross-cultural Influence,0.5818502306938171,Symbolism,0.44108879566192627,Logical Gaps,0.35780590772628784,Subjective/Biased View,0.34951308369636536
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.4.3_元四家.txt,Comparative Analysis,0.1202212944626808,0.0,0.0,0.0,0.0,0.01586378971114754,Emotional Expression,0.6934671998023987,Cross-cultural Influence,0.4476495683193207,Subjective/Biased View,0.21911947429180145,Superficial Treatment,0.1324675977230072
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.4.5_元代其他画派.txt,Socio-cultural Interpretation,0.3069822192192077,0.0,0.0,0.0,0.0,0.1806772410406427,Cross-cultural Influence,0.9325170516967773,Emotional Expression,0.8674055933952332,Subjective/Biased View,0.1227329671382904,Classical Citations,0.10296069830656052
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.5.2_明代宫廷画家、职业画家和文人画家的追求.txt,Socio-cultural Interpretation,0.1246884763240814,0.0,0.04403036832809448,0.2550830884453128,0.0,0.14301295747811144,Cross-cultural Influence,0.6489299535751343,Historical Context,0.5232502222061157,Logical Gaps,0.42066633701324463,Subjective/Biased View,0.4132519066333771
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.5.3_吴门画派.txt,Socio-cultural Interpretation,0.316916823387146,0.0,0.0,0.11293686733526341,0.17535467942555746,0.2388786380751965,Cross-cultural Influence,0.8880094885826111,Layout and Structure,0.8626537919044495,Subjective/Biased View,0.5724100470542908,Classical Citations,0.38282310962677
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.5.6_晚明绘画.txt,Socio-cultural Interpretation,0.3905103206634521,0.0,0.0,0.14790506599580538,0.0,0.24361496742934302,Cross-cultural Influence,0.8546664118766785,Historical Context,0.7388157844543457,Subjective/Biased View,0.7509880661964417,Lacks Examples,0.39281854033470154
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.6.2_清代宫廷绘画的特点.txt,Socio-cultural Interpretation,0.2100428640842437,0.0,0.16121761997540793,0.23101822673251812,0.0,0.1685176437053291,Cross-cultural Influence,0.9176227450370789,Layout and Structure,0.6091778874397278,Classical Citations,0.7069093585014343,Subjective/Biased View,0.46011197566986084
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.6.5_“扬州八怪”.txt,Socio-cultural Interpretation,0.2323055416345596,0.0,0.0,0.0,0.0,0.1128961260823961,Cross-cultural Influence,0.9103425145149231,Symbolism,0.5043708086013794,Subjective/Biased View,0.7751367688179016,Logical Gaps,0.29608166217803955
苏利文（Sullivan）_山川悠远 中国山水画艺术\2.7.8_中国山水画在现代社会.txt,Aesthetic Appreciation,0.2726116478443146,0.0,0.0,0.10463910126949058,0.0,0.20426916586606197,Historical Context,0.7305633425712585,Layout and Structure,0.7226505875587463,Logical Gaps,0.7073845267295837,Subjective/Biased View,0.35888415575027466
薛永年_中国绘画断代史\1.2_《视学》及线法画与外籍宫廷画家.txt,Socio-cultural Interpretation,0.2693070769309997,0.0,0.0,0.04336055394481211,0.0,0.15431304801165815,Cross-cultural Influence,0.8931466937065125,Layout and Structure,0.6231403350830078,Subjective/Biased View,0.6854950785636902,Objective Viewpoint,0.34517478942871094
薛永年_中国绘画断代史\1.4_宫廷中的油画作品.txt,Socio-cultural Interpretation,0.3055172860622406,0.0,0.0,0.07070345759172648,0.0,0.19512815505794104,Cross-cultural Influence,0.9068667888641357,Use of Color,0.8788016438484192,Subjective/Biased View,0.3473895788192749,Classical Citations,0.17672663927078247
薛永年_中国美术史：清代卷\1.1.1_承继拓展期.txt,Socio-cultural Interpretation,0.2398664802312851,0.0,0.0,0.0,0.0,0.052862635430167705,Cross-cultural Influence,0.4475969076156616,Texture Strokes (Chunfa),0.3222082853317261,Subjective/Biased View,0.4809316396713257,Classical Citations,0.05645238980650902
薛永年_中国美术史：清代卷\1.1.2_繁荣多彩期.txt,Socio-cultural Interpretation,0.1673845797777176,0.0,0.05420970916748047,0.2388727327772215,0.0,0.1591131229471555,Layout and Structure,0.9712647795677185,Cross-cultural Influence,0.8965436220169067,Subjective/Biased View,0.45753008127212524,Classical Citations,0.3490840196609497
薛永年_中国美术史：清代卷\1.1.3_古今转型期.txt,Socio-cultural Interpretation,0.2590262293815613,0.0,0.0,0.25057530654411686,0.0,0.221596879994168,Cross-cultural Influence,0.9614209532737732,Layout and Structure,0.6286152601242065,Subjective/Biased View,0.7256417870521545,Logical Gaps,0.3384413719177246
薛永年_中国美术史：清代卷\1.2.4_西学东渐与清代宫廷画.txt,Socio-cultural Interpretation,0.2464038878679275,0.0,0.051563431819279984,0.2848131350880744,0.0,0.2249038563991453,Cross-cultural Influence,0.9915212392807007,Historical Context,0.580003559589386,Subjective/Biased View,0.5651956796646118,Logical Gaps,0.35137876868247986
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.2_宋和宋以后绘画的鉴定.txt,Historical Research,0.2176330387592315,0.0,0.0,0.0,0.0,0.039784140446606775,Cross-cultural Influence,0.3673751950263977,Historical Context,0.29793789982795715,Logical Gaps,0.4064382314682007,Classical Citations,0.1646944284439087
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.3_笔法鉴赏.txt,Historical Research,0.1702205389738083,0.0,0.0,0.0,0.0,0.04493986036289821,Cross-cultural Influence,0.7070908546447754,Layout and Structure,0.47666630148887634,Detailed Analysis,0.42584627866744995,Logical Gaps,0.40559133887290955
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.4_艺术的个人风格、发展模式、变化幅度和画家性格.txt,Socio-cultural Interpretation,0.2169000655412674,0.0,0.0,0.0,0.0,0.09862739250641617,Layout and Structure,0.9406711459159851,Cross-cultural Influence,0.5655636191368103,Subjective/Biased View,0.667264997959137,Objective Viewpoint,0.1742428094148636
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\2.4_诗画关系.txt,Historical Research,0.3894344568252563,0.0,0.0,0.04480230070321875,0.0,0.22691267972343898,Cross-cultural Influence,0.8285092115402222,Historical Context,0.5615904927253723,Subjective/Biased View,0.39965948462486267,Superficial Treatment,0.2696329653263092
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\3.1_道释图像学.txt,Socio-cultural Interpretation,0.2095217853784561,0.0,0.0,0.0,0.0,0.10651447161793068,Cross-cultural Influence,0.9372427463531494,Symbolism,0.49219590425491333,Subjective/Biased View,0.8573031425476074,Strong Argumentation,0.3957318067550659
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\3.2_作为政治说教的宫廷画.txt,Historical Research,0.4240059554576874,0.0,0.1946866710980733,0.0973348973538069,0.0,0.2893313400741208,Cross-cultural Influence,0.8255711793899536,Historical Context,0.7357860207557678,Classical Citations,0.48038098216056824,Subjective/Biased View,0.44150781631469727
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\3.4_传统文学题材图卷.txt,Socio-cultural Interpretation,0.2688770294189453,0.0,0.08036600550015768,0.07770280029405566,0.0,0.20593793194536814,Cross-cultural Influence,0.99013352394104,Subject Matter,0.8889723420143127,Classical Citations,0.4339226186275482,Subjective/Biased View,0.29903286695480347
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\4.2_艺术赞助之研究的若干命题.txt,Socio-cultural Interpretation,0.324309229850769,0.0,0.0,0.030694458184435086,0.0,0.25837380881296756,Cross-cultural Influence,0.9853113889694214,Layout and Structure,0.948255717754364,Subjective/Biased View,0.7595565319061279,Logical Gaps,0.5487175583839417
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\4.3_皇家赞助.txt,High Praise,0.1255965828895568,0.0,0.0,0.0,0.0,0.0,Texture Strokes (Chunfa),0.011706181801855564,Cross-cultural Influence,0.009426400065422058,Classical Citations,0.003946560900658369,Superficial Treatment,0.0030547836795449257
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\4.4_赞助与文人.txt,Socio-cultural Interpretation,0.2098119705915451,0.0,0.0,0.12852744050323964,0.0,0.15245915434378032,Cross-cultural Influence,0.8141815066337585,Emotional Expression,0.7004625797271729,Subjective/Biased View,0.6519540548324585,Superficial Treatment,0.3057016432285309
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\4.5_艺术地位与艺术：职业画家与业余画家.txt,Historical Research,0.1758846044540405,0.0,0.0,0.0,0.0,0.04164546973042109,Cross-cultural Influence,0.8763836026191711,Historical Context,0.5049684643745422,Subjective/Biased View,0.5374847650527954,Logical Gaps,0.21978411078453064
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\4.6_艺术中的妇女.txt,Socio-cultural Interpretation,0.5099543929100037,0.0,0.0,0.03325253488386378,0.0,0.26760542730957687,Cross-cultural Influence,0.9827956557273865,Subject Matter,0.9677667021751404,Subjective/Biased View,0.46114087104797363,Classical Citations,0.21296420693397522
贡布里希_西方人的眼光—评苏立文的《永恒的象征—中国山水画艺术\1_中国山水画的特点.txt,Socio-cultural Interpretation,0.2204371392726898,0.0,0.0,0.0,0.0,0.16500880222339281,Symbolism,0.9555239677429199,Subject Matter,0.6716760993003845,Logical Gaps,0.9372813105583191,Lacks Examples,0.7903202772140503
贡布里希_西方人的眼光—评苏立文的《永恒的象征—中国山水画艺术\2_中西方艺术批评在评价标准和表述方式上的差异.txt,Socio-cultural Interpretation,0.1995716840028762,0.0,0.0,0.2440955333302126,0.0,0.1079887011173096,Cross-cultural Influence,0.9542628526687622,Emotional Expression,0.6143807768821716,Subjective/Biased View,0.8249254822731018,Logical Gaps,0.7136198878288269
贡布里希_西方人的眼光—评苏立文的《永恒的象征—中国山水画艺术\3_质疑.txt,Comparative Analysis,0.3533326089382171,0.0,0.0,0.0,0.0,0.02167372174285859,Cross-cultural Influence,0.8726093769073486,Historical Context,0.3971586525440216,Subjective/Biased View,0.8109503984451294,Logical Gaps,0.6209112405776978
高居翰（James Cahill）_明清绘画中作为思想观念的风格\1_开篇.txt,Critical Inquiry,0.2746841013431549,0.0,0.11660132805506389,0.12975192742750924,0.0,0.1714176195250316,Cross-cultural Influence,0.7724981904029846,Subject Matter,0.7443267703056335,Subjective/Biased View,0.859222948551178,Logical Gaps,0.5654782652854919
高居翰（James Cahill）_明清绘画中作为思想观念的风格\2.2_仿的问题.txt,Objective Description,0.1403259932994842,0.0,0.0,0.0,0.0,0.0,Cross-cultural Influence,0.2488396018743515,Historical Context,0.21592147648334503,Subjective/Biased View,0.447078138589859,Logical Gaps,0.17189921438694
正月(with_Brother_Thomas).txt,Socio-cultural Interpretation,0.2136397361755371,0.0,0.0,0.09812981195966985,0.2043522596359253,0.20346629517003492,Layout and Structure,0.829012930393219,Use of Color,0.8138065934181213,Subjective/Biased View,0.31402143836021423,Lacks Examples,0.2746109664440155
正月(with_John_Ruskin).txt,High Praise,0.1753745973110199,0.0,0.0,0.2943613458643941,0.22188764810562134,0.16453410409898916,Cross-cultural Influence,0.779573380947113,Symbolism,0.7780143618583679,Logical Gaps,0.2513492703437805,Profound Insight,0.23137664794921875
正月(with_Mama_Zola).txt,Socio-cultural Interpretation,0.3141337931156158,0.0,0.0,0.2805920925794863,0.0,0.2763783691331425,Layout and Structure,0.863866925239563,Cross-cultural Influence,0.8345896005630493,Logical Gaps,0.20122483372688293,Clear Logic,0.1372208595275879
