category,item,metric,value
core_features,Artist Biography,min_score,0.0018428346375003457
core_features,Artist Biography,max_score,0.9888309836387634
core_features,Ink Application,mention_frequency_in_comments_with_category_data,1.0
core_features,Ink Application,overall_mention_count,163.0
core_features,Ink Application,average_score,0.2931390734169092
core_features,Ink Application,median_score,0.21808700263500214
core_features,Ink Application,std_dev_score,0.2619230535571738
core_features,Ink Application,min_score,0.00041083266842179
core_features,Ink Application,max_score,0.9910539984703064
core_features,Subject Matter,mention_frequency_in_comments_with_category_data,1.0
core_features,Subject Matter,overall_mention_count,163.0
core_features,Subject Matter,average_score,0.6019649309091173
core_features,Subject Matter,median_score,0.658463716506958
core_features,Subject Matter,std_dev_score,0.3020356179692363
core_features,Subject Matter,min_score,0.0008829223806969821
core_features,Subject Matter,max_score,0.9982507824897766
core_features,Use of Color,mention_frequency_in_comments_with_category_data,1.0
core_features,Use of Color,overall_mention_count,163.0
core_features,Use of Color,average_score,0.5143470320524933
core_features,Use of Color,median_score,0.5070423483848572
core_features,Use of Color,std_dev_score,0.2616954964016731
core_features,Use of Color,min_score,0.0032044313848018646
core_features,Use of Color,max_score,0.9967741966247559
core_features,Line Quality,mention_frequency_in_comments_with_category_data,1.0
core_features,Line Quality,overall_mention_count,163.0
core_features,Line Quality,average_score,0.37941754233657005
core_features,Line Quality,median_score,0.34259119629859924
core_features,Line Quality,std_dev_score,0.26562481044140335
core_features,Line Quality,min_score,0.00042329091229476035
core_features,Line Quality,max_score,0.9949305653572083
core_features,Style/School,mention_frequency_in_comments_with_category_data,1.0
core_features,Style/School,overall_mention_count,163.0
core_features,Style/School,average_score,0.43284512023752886
core_features,Style/School,median_score,0.40017902851104736
core_features,Style/School,std_dev_score,0.2614698119278071
core_features,Style/School,min_score,0.0009610464330762625
core_features,Style/School,max_score,0.9977604150772095
core_features,Texture Strokes (Chunfa),mention_frequency_in_comments_with_category_data,1.0
core_features,Texture Strokes (Chunfa),overall_mention_count,163.0
core_features,Texture Strokes (Chunfa),average_score,0.4156292162412789
core_features,Texture Strokes (Chunfa),median_score,0.39430344104766846
core_features,Texture Strokes (Chunfa),std_dev_score,0.2337627608616147
core_features,Texture Strokes (Chunfa),min_score,0.0010686410823836923
core_features,Texture Strokes (Chunfa),max_score,0.9777061939239502
core_features,Spatial Representation,mention_frequency_in_comments_with_category_data,1.0
core_features,Spatial Representation,overall_mention_count,163.0
core_features,Spatial Representation,average_score,0.28541093160904674
core_features,Spatial Representation,median_score,0.19974194467067719
core_features,Spatial Representation,std_dev_score,0.2893535728316517
core_features,Spatial Representation,min_score,0.00038481500814668834
core_features,Spatial Representation,max_score,0.993165910243988
argument_quality,Subjective/Biased View,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Subjective/Biased View,overall_mention_count,163.0
argument_quality,Subjective/Biased View,average_score,0.6735408140204996
argument_quality,Subjective/Biased View,median_score,0.7542672753334045
argument_quality,Subjective/Biased View,std_dev_score,0.29202913354874643
argument_quality,Subjective/Biased View,min_score,0.0013837855076417327
argument_quality,Subjective/Biased View,max_score,0.9948218464851379
argument_quality,Superficial Treatment,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Superficial Treatment,overall_mention_count,163.0
argument_quality,Superficial Treatment,average_score,0.4690865869601714
argument_quality,Superficial Treatment,median_score,0.4540523886680603
argument_quality,Superficial Treatment,std_dev_score,0.27945468258764133
argument_quality,Superficial Treatment,min_score,0.0006371512426994741
argument_quality,Superficial Treatment,max_score,0.9952475428581238
argument_quality,Logical Gaps,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Logical Gaps,overall_mention_count,163.0
argument_quality,Logical Gaps,average_score,0.4649765407220186
argument_quality,Logical Gaps,median_score,0.4482959806919098
argument_quality,Logical Gaps,std_dev_score,0.30205764325039525
argument_quality,Logical Gaps,min_score,0.0006630109273828566
argument_quality,Logical Gaps,max_score,0.9950562119483948
argument_quality,Classical Citations,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Classical Citations,overall_mention_count,163.0
argument_quality,Classical Citations,average_score,0.40259631623676834
argument_quality,Classical Citations,median_score,0.36364462971687317
argument_quality,Classical Citations,std_dev_score,0.25885169173818395
argument_quality,Classical Citations,min_score,0.0014722273917868733
argument_quality,Classical Citations,max_score,0.9832900762557983
argument_quality,Lacks Examples,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Lacks Examples,overall_mention_count,163.0
argument_quality,Lacks Examples,average_score,0.2815866253404461
argument_quality,Lacks Examples,median_score,0.20234553515911102
argument_quality,Lacks Examples,std_dev_score,0.257628052871623
argument_quality,Lacks Examples,min_score,0.00034223764669150114
argument_quality,Lacks Examples,max_score,0.9967086911201477
argument_quality,Objective Viewpoint,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Objective Viewpoint,overall_mention_count,163.0
argument_quality,Objective Viewpoint,average_score,0.22241937537946127
argument_quality,Objective Viewpoint,median_score,0.13657450675964355
argument_quality,Objective Viewpoint,std_dev_score,0.24051718602936822
argument_quality,Objective Viewpoint,min_score,0.0005101585411466658
argument_quality,Objective Viewpoint,max_score,0.9885396957397461
argument_quality,Overly General Content,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Overly General Content,overall_mention_count,163.0
argument_quality,Overly General Content,average_score,0.21921766043656385
argument_quality,Overly General Content,median_score,0.11474347114562988
argument_quality,Overly General Content,std_dev_score,0.24815541285904508
argument_quality,Overly General Content,min_score,0.0003308184677734971
argument_quality,Overly General Content,max_score,0.9937774538993835
argument_quality,Profound Insight,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Profound Insight,overall_mention_count,163.0
argument_quality,Profound Insight,average_score,0.25177408700260373
argument_quality,Profound Insight,median_score,0.18996165692806244
argument_quality,Profound Insight,std_dev_score,0.22781593220938623
argument_quality,Profound Insight,min_score,0.0006904733600094914
argument_quality,Profound Insight,max_score,0.9387049674987793
argument_quality,Strong Argumentation,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Strong Argumentation,overall_mention_count,163.0
argument_quality,Strong Argumentation,average_score,0.2944148745342441
argument_quality,Strong Argumentation,median_score,0.24445980787277222
argument_quality,Strong Argumentation,std_dev_score,0.24453567234959303
argument_quality,Strong Argumentation,min_score,0.00039954300154931843
argument_quality,Strong Argumentation,max_score,0.979926586151123
argument_quality,Detailed Analysis,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Detailed Analysis,overall_mention_count,163.0
argument_quality,Detailed Analysis,average_score,0.15794071439043705
argument_quality,Detailed Analysis,median_score,0.07071123272180557
argument_quality,Detailed Analysis,std_dev_score,0.20596265773598751
argument_quality,Detailed Analysis,min_score,0.00045350182335823774
argument_quality,Detailed Analysis,max_score,0.9837525486946106
argument_quality,Clear Logic,mention_frequency_in_comments_with_category_data,1.0
argument_quality,Clear Logic,overall_mention_count,163.0
argument_quality,Clear Logic,average_score,0.09305192325392772
argument_quality,Clear Logic,median_score,0.015033161267638206
argument_quality,Clear Logic,std_dev_score,0.1587083793761845
argument_quality,Clear Logic,min_score,0.00022247759625315666
argument_quality,Clear Logic,max_score,0.9244378209114075
