file_id,stance_label_en,stance_score,score_Comprehensive_Analyst,score_Historically_Focused,score_Technique_&_Style_Focused,score_Theory_&_Comparison_Focused,score_General_Descriptive_Profile,top_feature_1_label,top_feature_1_score,top_feature_2_label,top_feature_2_score,top_quality_1_label,top_quality_1_score,top_quality_2_label,top_quality_2_score
7-2,Mild Criticism,0.3803391754627228,0.0,0.0,0.23708313668110206,0.0,0.07474016965451566,Layout and Structure,0.986739456653595,Cross-cultural Influence,0.9309613704681396,Logical Gaps,0.31706005334854126,Lacks Examples,0.2462521493434906
7-3,Socio-cultural Interpretation,0.1759384423494339,0.0,0.0,0.22549423766413737,0.0,0.14150396852510022,Brushwork Technique,0.9916412830352783,Ink Application,0.9867278933525085,Lacks Examples,0.29283639788627625,Profound Insight,0.16311976313591003
7-7,Socio-cultural Interpretation,0.2567736506462097,0.0,0.2780731270710627,0.0,0.0,0.1774119564735475,Cross-cultural Influence,0.9588900804519653,Style/School,0.9527023434638977,Subjective/Biased View,0.19454190135002136,Detailed Analysis,0.09491916000843048
8-1,Aesthetic Appreciation,0.3167363107204437,0.0,0.0,0.0,0.0,0.09808018277673161,Subject Matter,0.5927534699440002,Layout and Structure,0.586865246295929,Subjective/Biased View,0.17694327235221863,Logical Gaps,0.013468276709318161
8-2,Mild Criticism,0.2445826083421707,0.0,0.0,0.2795548204113455,0.0,0.11755668067119338,Layout and Structure,0.9879198670387268,Spatial Representation,0.9686241745948792,Lacks Examples,0.32044461369514465,Superficial Treatment,0.2946074306964874
8-3,Socio-cultural Interpretation,0.3242663145065307,0.0,0.0,0.0,0.0,0.1895001018180183,Brushwork Technique,0.9939999580383301,Use of Color,0.9682208895683289,Lacks Examples,0.11658279597759247,Subjective/Biased View,0.062302716076374054
8-4,Socio-cultural Interpretation,0.2556106448173523,0.0,0.0,0.03638149917344836,0.0,0.15631111479678098,Use of Color,0.9944602847099304,Layout and Structure,0.8366103172302246,Objective Viewpoint,0.16420693695545197,Classical Citations,0.10339753329753876
8-5,Socio-cultural Interpretation,0.2395638972520828,0.0,0.0,0.13915224114761632,0.0,0.20044237235436502,Symbolism,0.9542528390884399,Layout and Structure,0.9083983898162842,Objective Viewpoint,0.25651559233665466,Superficial Treatment,0.15713857114315033
9-2,Socio-cultural Interpretation,0.2767778038978576,0.0,0.0,0.0,0.0,0.10565128850932404,Layout and Structure,0.9127554893493652,Line Quality,0.8224005103111267,Logical Gaps,0.16538357734680176,Lacks Examples,0.054995350539684296
9-3,Socio-cultural Interpretation,0.2656020820140838,0.0,0.0,0.2314048876145891,0.0,0.2543261661318773,Brushwork Technique,0.9920464158058167,Use of Color,0.9859191179275513,Classical Citations,0.11799514293670654,Logical Gaps,0.11709659546613693
9-6,Socio-cultural Interpretation,0.3924590647220611,0.0,0.0,0.24782392314324775,0.0,0.27995006509005704,Cross-cultural Influence,0.9825259447097778,Spatial Representation,0.8387069702148438,Subjective/Biased View,0.3266761004924774,Lacks Examples,0.09528037905693054
